dataset,delta,cal_picp,cal_mpiw,conf_picp,conf_mpiw
concrete,0.027,0.8349514563106796,36.76039123535156,0.883495145631068,39.91848373413086
concrete,0.028,0.8300970873786407,36.441856384277344,0.883495145631068,39.95158767700195
concrete,0.029,0.8300970873786407,36.394657135009766,0.883495145631068,40.021976470947266
concrete,0.03,0.8203883495145631,36.08272933959961,0.8980582524271845,39.79826354980469
energy,0.0,0.9285714285714286,25.9758243560791,0.935064935064935,25.49285888671875
energy,0.001,0.9285714285714286,25.906049728393555,0.935064935064935,25.554140090942383
energy,0.002,0.922077922077922,25.75838851928711,0.935064935064935,25.459522247314453
energy,0.003,0.922077922077922,25.722501754760742,0.9285714285714286,25.516098022460938
energy,0.004,0.9155844155844156,25.634817123413086,0.948051948051948,25.560287475585938
energy,0.005,0.9025974025974026,25.51240348815918,0.948051948051948,25.59990692138672
energy,0.006,0.9025974025974026,25.486339569091797,0.948051948051948,25.578567504882812
energy,0.007,0.8961038961038961,25.40501594543457,0.9545454545454546,25.543214797973633
energy,0.008,0.8961038961038961,25.290128707885742,0.9545454545454546,25.60097312927246
energy,0.009,0.8961038961038961,25.254919052124023,0.9545454545454546,25.45338249206543
energy,0.01,0.8896103896103896,25.190364837646484,0.9545454545454546,25.397705078125
energy,0.011,0.8896103896103896,25.074960708618164,0.9545454545454546,25.41971778869629
energy,0.012,0.8896103896103896,25.003259658813477,0.9545454545454546,25.340707778930664
energy,0.013,0.8896103896103896,24.921363830566406,0.9545454545454546,25.27838134765625
energy,0.014,0.8896103896103896,24.849721908569336,0.9545454545454546,25.18741226196289
energy,0.015,0.8896103896103896,24.779157638549805,0.9545454545454546,25.125722885131836
energy,0.016,0.8896103896103896,24.703289031982422,0.9545454545454546,25.041372299194336
energy,0.017,0.8896103896103896,24.6352481842041,0.9545454545454546,25.00421142578125
energy,0.018,0.8896103896103896,24.573122024536133,0.9545454545454546,24.93324089050293
energy,0.019,0.8896103896103896,24.52587890625,0.9545454545454546,24.882600784301758
energy,0.02,0.8896103896103896,24.44396209716797,0.9545454545454546,24.80670166015625
energy,0.021,0.8896103896103896,24.35407066345215,0.9545454545454546,24.851150512695312
energy,0.022,0.8896103896103896,24.298837661743164,0.9545454545454546,24.744991302490234
energy,0.023,0.8896103896103896,24.20146369934082,0.9545454545454546,24.822853088378906
energy,0.024,0.8896103896103896,24.129825592041016,0.961038961038961,24.80543327331543
energy,0.025,0.8896103896103896,24.053524017333984,0.961038961038961,24.834430694580078
energy,0.026,0.8896103896103896,23.992080688476562,0.961038961038961,24.789608001708984
energy,0.027,0.8896103896103896,23.923925399780273,0.961038961038961,24.756141662597656
energy,0.028,0.8896103896103896,23.86341667175293,0.961038961038961,24.696619033813477
energy,0.029,0.8896103896103896,23.799652099609375,0.961038961038961,24.649524688720703
energy,0.03,0.8831168831168831,23.738157272338867,0.9545454545454546,24.551525115966797
protein,0.0,0.9058604854581238,17.310165405273438,0.8985348786354691,17.242395401000977
protein,0.001,0.9038924119833807,17.26018714904785,0.8982068663896785,17.20894432067871
protein,0.002,0.9025803630002187,17.20903968811035,0.8976601793133611,17.177698135375977
protein,0.003,0.8997375902033676,17.15471839904785,0.898316203804942,17.15178871154785
protein,0.004,0.8966761425759895,17.09662437438965,0.8979881915591515,17.117145538330078
protein,0.005,0.895473431008091,17.048336029052734,0.8980975289744151,17.097875595092773
protein,0.006,0.8939427071944019,17.004230499267578,0.897878854143888,17.073225021362305
protein,0.007,0.8912092718128144,16.958505630493164,0.8975508418980975,17.050559997558594
protein,0.008,0.8891318609228078,16.915498733520508,0.898316203804942,17.033077239990234
protein,0.009,0.8879291493549093,16.874881744384766,0.8977695167286245,17.01169204711914
protein,0.01,0.8857424010496392,16.8360595703125,0.8980975289744151,16.994291305541992
protein,0.011,0.8843210146512136,16.794279098510742,0.9000656024491581,16.985559463500977
